Organism; Proteom volume; Div Time 
Methanocella paludicola (strain DSM 17711 / JCM 13418 / NBRC 101707 / SANAE);6;4290
Mycobacterium tuberculosis (strain F11);20;4290
Xylanimonas cellulosilytica (strain DSM 15894 / CECT 5975 / LMG 20990 / XIL07);8;4290
Chlorobaculum thiosulfatiphilum;14;4290
Acholeplasma laidlawii;18;4290
Brucella canis;3;4290
Chlamydophila psittaci;13;4290
Bordetella avium;3;4290
Serratia odorifera;2;4290
Avibacterium volantium;1;4290
Agrobacterium tumefaciens (strain Ach5);15;4290
Neisseria subflava;3;4290
Neisseria meningitidis;11;4290
Vibrio anguillarum (strain ATCC 68554 / 775);13;4290
Bacillus phage GA-1;3;4290
Bacillus phage PZA;26;4290
Dickeya zeae (strain Ech586);7;4290
Streptomyces clavuligerus (strain ATCC 27064 / DSM 738 / JCM 4710 / NBRC 13307 / NCIMB 12785 / NRRL 3585 / VKM Ac-602);33;4290
Streptomyces clavuligerus;7;4290
Erwinia pyrifoliae (strain Ep1/96);3;4290
Pasteurella aerogenes;2;4290
Neisseria cinerea;5;4290
Synechocystis sp. (strain PCC 6714);8;4290
Halorhodospira halophila;6;4290
Thermococcus fumicolans;3;4290
Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541);9;4290
Jonesia denitrificans (strain ATCC 14870 / DSM 20603 / CIP 55134);7;4290
Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399);12;4290
Methanocaldococcus fervens (strain DSM 4213 / JCM 15782 / AG86);7;4290
Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP);6;4290
Methanocaldococcus sp. (strain FS406-22);6;4290
Nakamurella multipartita (strain ATCC 700099 / DSM 44233 / CIP 104796 / JCM 9543 / NBRC 105858 / Y-104);9;4290
Natrialba magadii (strain ATCC 43099 / DSM 3394 / CIP 104546 / JCM 8861/ NBRC 102185 / NCIMB 2190 / MS3);10;4290
Saccharomonospora viridis (strain ATCC 15386 / DSM 43017 / JCM 3036 / NBRC 12207 / P101);8;4290
Streptomyces scabiei (strain 87.22);9;4290
Pseudomonas savastanoi pv. phaseolicola;17;4290
Borrelia burgdorferi (strain N40);6;4290
Shigella boydii;8;4290
Pseudomonas sp. (strain SE83);2;4290
Brachybacterium faecium (strain ATCC 43885 / DSM 4810 / NCIB 9860);6;4290
Streptomyces sp. (strain D7);3;4290
Bordetella pertussis (strain CS);2;4290
Kluyvera cryocrescens;2;4290
Streptomyces hygroscopicus;17;4290
Amycolatopsis lactamdurans;10;4290
Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13);6;4290
Rhizobium radiobacter;105;4290
Synechococcus elongatus;25;4290
Chlorobium limicola;6;4290
Erwinia amylovora;28;4290
Staphylococcus sciuri subsp. rodentium;2;4290
Propionibacterium freudenreichii subsp. shermanii;7;4290
Clostridium tetanomorphum;5;4290
Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56);15;4290
Methylosinus trichosporium;9;4290
Bacillus clausii;4;4290
Methylobacterium extorquens (strain DSM 6343 / CIP 106787 / DM4);11;4290
Methylobacter tundripaludum (strain ATCC BAA-1195 / SV96);1;4290
Herpetosiphon aurantiacus;22;4290
Indian cassava mosaic virus;9;4290
Micromonospora griseorubida;7;4290
Streptomyces fradiae;43;4290
Methanohalobium evestigatum (strain ATCC BAA-1072 / DSM 3721 / NBRC 107634 / OCM 161 / Z-7303);4;4290
Methanosalsum zhilinae (strain DSM 4017 / NBRC 107636 / OCM 62 / WeN5);2;4290
Halomonas anticariensis (strain DSM 16096 / FP35);2;4290
Ruminococcus albus (strain ATCC 27210 / DSM 20455 / JCM 14654 / NCDO 2250 / 7);6;4290
Acinetobacter calcoaceticus;35;4290
Alcaligenes sp.;15;4290
Methanolobus tindarius;2;4290
Leuconostoc mesenteroides;16;4290
Methanothermus fervidus;14;4290
Cardiobacterium hominis (strain ATCC 15826 / DSM 8339 / NCTC 10426 / 6573);1;4290
Helicobacter pylori;22;4290
Streptococcus pyogenes serotype M49;5;4290
Leptospira meyeri;3;4290
Salmonella typhimurium (strain 14028s / SGSC 2262);36;4290
Thermoanaerobacterium thermosaccharolyticum;2;4290
Treponema socranskii;1;4290
Rhodothermus marinus;12;4290
Rahnella sp. (strain Y9602);7;4290
Streptomyces lasaliensis;4;4290
Mycobacterium goodii;6;4290
Methylomicrobium album;1;4290
Pseudomonas deceptionensis;1;4290
Actinoplanes missouriensis;2;4290
Shewanella putrefaciens;6;4290
Thermus caldophilus;7;4290
Thermoplasmatales archaeon (strain BRNA1);1;4290
Pelagibacterium halotolerans (strain DSM 22347 / JCM 15775 / CGMCC 1.7692 / B2);1;4290
Rhodopseudomonas palustris;8;4290
Thiothrix nivea (strain ATCC 35100 / DSM 5205 / JP2);1;4290
Haloferax prahovense (strain DSM 18310 / JCM 13924 / TL6);1;4290
Sulfurimonas autotrophica (strain ATCC BAA-671 / DSM 16294 / JCM 11897 / OK10);1;4290
Bacillus sp. (strain H-257);1;4290
Thermotoga neapolitana;18;4290
Rhodococcus globerulus;5;4290
Rhodococcus rhodochrous;19;4290
Rhodococcus sp.;11;4290
Streptomyces cacaoi;8;4290
Lactococcus lactis subsp. cremoris (strain NZ9000);5;4290
Salmonella enteritidis;24;4290
Methanobacterium formicicum (strain DSM 3637 / PP1);1;4290
Deferribacter desulfuricans (strain DSM 14783 / JCM 11476 / NBRC 101012 / SSM1);1;4290
Haloferax gibbonsii (strain ATCC 33959 / DSM 4427 / JCM 8863 / NBRC 102184 / NCIMB 2188 / Ma 2.38);1;4290
Brevundimonas diminuta (strain ATCC 11568 / DSM 7234 / NBRC 12697 / NCIMB 9393 / NCTC 8545);1;4290
Comamonas testosteroni (strain DSM 14576 / KF-1);1;4290
Mycobacterium intracellulare;13;4290
Erwinia billingiae (strain Eb661);6;4290
Pantoea sp. (strain At-9b);4;4290
Lactobacillus casei (strain LC2W);1;4290
Lactobacillus casei (strain BD-II);1;4290
Legionella longbeachae;2;4290
Ruminococcus gnavus;2;4290
Bacillus caldotenax;19;4290
Streptococcus gordonii;27;4290
Buchnera aphidicola subsp. Uroleucon solidaginis;2;4290
Bacillus phage SF6;2;4290
Enterococcus faecalis (strain TX4000 / JH2-2);5;4290
Agrobacterium rhizogenes;29;4290
Gordonia lasianthus;1;4290
West Caucasian bat virus;4;4290
Paracoccus versutus;11;4290
Methylobacterium extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1);60;4290
Methylophilus methylotrophus;17;4290
Xanthobacter autotrophicus;5;4290
Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006);12;4290
Malonomonas rubra;8;4290
Brevundimonas diminuta;10;4290
Klebsiella pneumoniae subsp. rhinoscleromatis;1;4290
Moritella sp. (strain 5710);1;4290
Stenotrophomonas maltophilia;13;4290
Streptosporangium roseum;1;4290
Bacillus coagulans;11;4290
Buchnera aphidicola subsp. Pemphigus spyrothecae;6;4290
Streptococcus pyogenes;47;4290
Rhodococcus opacus;16;4290
Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9);30;4290
Pseudomonas syringae pv. ribicola;1;4290
Haloarcula japonica;4;4290
Clostridium butyricum;8;4290
Fusobacterium mortiferum;5;4290
Photorhabdus luminescens;27;4290
Escherichia albertii (strain TW07627);1;4290
Parainfluenza virus 5 (strain W3);8;4290
Alcaligenes hydrogenophilus;2;4290
Methylococcus thermophilus;1;4290
Salinibacter ruber (strain M8);3;4290
Mycoplasma fermentans (strain ATCC 19989 / NBRC 14854 / NCTC 10117 / PG18);4;4290
Aeromonas salmonicida;24;4290
Arthrospira platensis (strain NIES-39 / IAM M-135);2;4290
Shewanella hanedai;3;4290
Vibrio albensis;1;4290
Halobacillus halophilus (strain ATCC 35676 / DSM 2266 / JCM 20832 / NBRC 102448/ NCIMB 2269);3;4290
Mycobacterium phage L5;84;4290
Lactococcus phage c2;4;4290
Escherichia phage MS2;4;4290
Streptomyces arenae;9;4290
Lysobacter sp.;1;4290
Bradyrhizobium sp.;5;4290
Rhodospirillum rubrum;49;4290
Clavibacter michiganensis subsp. michiganensis;1;4290
Tatlockia micdadei;4;4290
Sphingomonas sp.;5;4290
Paenibacillus macquariensis;1;4290
Spirochaeta thermophila (strain ATCC 49972 / DSM 6192 / RI 19.B1);3;4290
Haloarcula vallismortis;8;4290
Streptomyces alboniger;3;4290
Bacillus sp. (strain TB-90);10;4290
Thiocystis violacea;6;4290
Anabaena cylindrica;6;4290
Escherichia phage P1;29;4290
Tolypothrix scytonemoides;1;4290
Amycolatopsis methanolica;13;4290
Pseudomonas sp. (strain EST1001);2;4290
Rhodomonas sp. (strain CS 24);4;4290
Mycobacterium kansasii;7;4290
Serratia liquefaciens;5;4290
Desulfovibrio gigas;10;4290
Pantoea vagans (strain C9-1);6;4290
Pectobacterium parmentieri (strain WPP163);7;4290
Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255);4;4290
Shigella dysenteriae;32;4290
Salmonella typhimurium (strain ATCC 68169 / UK-1);3;4290
Pseudomonas phage 201phi2-1;1;4290
Serratia sp. (strain ATCC 39006);16;4290
Streptomyces venezuelae;11;4290
Lactobacillus rhamnosus (strain Lc 705);1;4290
Arcanobacterium haemolyticum (strain ATCC 9345 / DSM 20595 / NBRC 15585 / NCTC 8452 / 11018);2;4290
Streptococcus sanguinis;11;4290
Amycolatopsis mediterranei (strain S699);8;4290
Dictyoglomus thermophilum;2;4290
Methylomicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z);3;4290
Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1);16;4290
Acinetobacter johnsonii;5;4290
Moraxella lacunata;2;4290
Ralstonia solanacearum;14;4290
Komagataeibacter xylinus;24;4290
Rhodovulum sulfidophilum;11;4290
Kocuria rosea;1;4290
Aeromonas caviae;4;4290
Xanthobacter agilis;1;4290
Zoogloea ramigera;2;4290
Aphanizomenon flos-aquae;5;4290
Nocardioides sp. (strain KP7);4;4290
Synechocystis sp. (strain PCC 6701);5;4290
Synechococcus sp. (strain WH8103);7;4290
Ralstonia pickettii;7;4290
Streptomyces morookaense;2;4290
Desulfovibrio oxamicus (strain Monticello);2;4290
Clostridium haemolyticum;1;4290
Clostridium perfringens;24;4290
Listeria ivanovii;9;4290
Staphylococcus intermedius;5;4290
Escherichia coli (strain B / BL21-DE3);23;4290
Pseudomonas cedrina;1;4290
Desulfomicrobium baculatum (strain DSM 4028 / VKM B-1378);1;4290
Desulfovibrio fructosivorans;6;4290
Desulfovibrio multispirans;1;4290
Morganella morganii;13;4290
Edwardsiella tarda;8;4290
Lactobacillus brevis;8;4290
Lactobacillus rhamnosus;10;4290
Staphylococcus carnosus;4;4290
Desmonostoc sp. (strain PCC 7906);4;4290
Leptospira borgpetersenii;5;4290
Pyrococcus woesei;20;4290
Pelobacter acidigallici;2;4290
Streptomyces coeruleorubidus;1;4290
Cellulomonas sp.;1;4290
Methylomonas aminofaciens;3;4290
Leptospira interrogans;5;4290
Frankia inefficax (strain DSM 45817 / CECT 9037 / EuI1c);2;4290
Burkholderia sp.;9;4290
Desulfomicrobium norvegicum (strain DSM 1741 / NCIMB 8310);9;4290
Eubacterium ramulus;1;4290
Pseudomonas sp. (strain 101);2;4290
Bacillus sp. (strain DS11);1;4290
Rhodococcus sp. (strain ATCC 21145);1;4290
Pseudomonas aeruginosa (strain PAK);1;4290
Carnobacterium maltaromaticum;9;4290
Methanobacterium bryantii;3;4290
Salmonella typhimurium;43;4290
Haloarcula hispanica (strain ATCC 33960 / DSM 4426 / JCM 8911 / NBRC 102182 / NCIMB 2187 / VKM B-1755);4;4290
Paucimonas lemoignei;4;4290
Acinetobacter sp. (strain RA3849);1;4290
Methylobacterium extorquens;4;4290
Arthrospira fusiformis;2;4290
Eubacterium oxidoreducens;1;4290
Providencia stuartii;13;4290
Desulfomicrobium baculatum;4;4290
Serratia sp. (strain FS14);1;4290
Achromobacter lyticus;7;4290
Aeromonas sobria;4;4290
Elizabethkingia meningoseptica;17;4290
Lactobacillus crispatus (strain ST1);1;4290
Streptomyces halstedii;9;4290
Streptomyces toyocaensis;5;4290
Bacillus phage B103;17;4290
Bacillus phage phi29;25;4290
Corynebacterium pseudotuberculosis;1;4290
Moritella marina;8;4290
Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034);5;4290
Moraxella bovis;9;4290
Meiothermus ruber (strain ATCC 35948 / DSM 1279 / VKM B-1258 / 21);1;4290
Microcystis aeruginosa;10;4290
Corynebacterium ulcerans;1;4290
Lactobacillus plantarum;8;4290
Thermomonospora curvata;3;4290
Bacillus thuringiensis;34;4290
Microbacterium luteolum;2;4290
Streptomyces chromofuscus;1;4290
Streptomyces sp. (strain CL190);4;4290
Thauera sp. (strain MZ1T);4;4290
Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768);2;4290
Helicobacter pylori (strain B128);2;4290
Mycoplasma hominis (strain ATCC 23114 / NBRC 14850 / NCTC 10111 / PG21);14;4290
Thermus oshimai;2;4290
Pseudomonas syringae pv. syringae;36;4290
Vibrio metschnikovii;4;4290
Bacillus intermedius;1;4290
Photobacterium damsela subsp. piscicida;9;4290
Nitrosomonas sp. (strain ENI-11);1;4290
Escherichia phage T5;43;4290
Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23);6;4290
Mycobacterium thermoresistibile (strain ATCC 19527 / DSM 44167 / CIP 105390 / JCM 6362 / NCTC 10409 / 316);2;4290
Neisseria elongata subsp. glycolytica;1;4290
Neisseria pharyngis;4;4290
Streptobacillus moniliformis (strain ATCC 14647 / DSM 12112 / NCTC 10651 / 9901);2;4290
Bacillus thuringiensis subsp. kurstaki;18;4290
Bacillus phage SP01;36;4290
Xanthomonas euvesicatoria;11;4290
Rhizobium phage 16-3;1;4290
Bacillus phage phi105;15;4290
Bacillus firmus;7;4290
Staphylococcus aureus (strain TCH60);1;4290
Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3);5;4290
Streptomyces scabiei;4;4290
Streptomyces bikiniensis;5;4290
Thermus filiformis;4;4290
Vibrio proteolyticus;10;4290
Vibrio mimicus;8;4290
Lawsonia intracellularis;3;4290
Phytoplasma sp. (strain STRAWB1);3;4290
Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CHA0);17;4290
Vibrio anguillarum;28;4290
Prosthecochloris vibrioformis;8;4290
Phytoplasma sp. (strain STRAWB2);3;4290
Mycoplasma fermentans;3;4290
Escherichia phage 186;16;4290
Pseudomonas phage D3;2;4290
Haemophilus phage HP1 (strain HP1c1);41;4290
Escherichia phage HK022;9;4290
Brevundimonas vesicularis;7;4290
Saccharopolyspora erythraea;12;4290
Desulfovibrio gigas (strain ATCC 19364 / DSM 1382 / NCIMB 9332 / VKM B-1759);10;4290
Acinetobacter guillouiae;10;4290
Thermococcus celer;11;4290
Bacillus megaterium;55;4290
Pantoea stewartii subsp. stewartii;6;4290
Aneurinibacillus thermoaerophilus;8;4290
Aeromonas veronii (strain B565);1;4290
Alteromonas naphthalenivorans;4;4290
Marinomonas mediterranea (strain ATCC 700492 / JCM 21426 / NBRC 103028 / MMB-1);5;4290
Salmonella anatum;1;4290
Edwardsiella tarda (strain EIB202);15;4290
Xenorhabdus bovienii (strain SS-2004);9;4290
Acinetobacter calcoaceticus (strain PHEA-2);6;4290
Streptomyces collinus;5;4290
Halococcus morrhuae;5;4290
Methanothermobacter thermautotrophicus (strain Winter);7;4290
Escherichia phage P2;39;4290
Pseudomonas mendocina;17;4290
Pseudanabaena sp. (strain PCC 6903);3;4290
Leuconostoc pseudomesenteroides;1;4290
Listeria grayi;3;4290
Mycoplasma sp.;8;4290
Bartonella clarridgeiae;1;4290
Photobacterium angustum (strain S14 / CCUG 15956);2;4290
Yersinia pestis (strain D106004);3;4290
Wolbachia pipientis;2;4290
Pseudomonas phage phiKMV;8;4290
Neorickettsia risticii;2;4290
Porphyromonas cangingivalis;2;4290
Ferrimonas balearica (strain DSM 9799 / CCM 4581 / PAT);5;4290
Rickettsia massiliae;2;4290
Shewanella violacea;4;4290
Brochothrix thermosphacta;1;4290
Rubrivivax gelatinosus (strain NBRC 100245 / IL144);14;4290
Prochloron sp.;1;4290
Nostoc commune;8;4290
Mycobacterium peregrinum;1;4290
Tremblaya princeps;11;4290
Staphylococcus hominis;2;4290
Haemophilus parainfluenzae (strain T3T1);3;4290
Desulfotomaculum thermocisternum;2;4290
Brachyspira pilosicoli;3;4290
Staphylococcus capitis;2;4290
Methanosaeta harundinacea (strain 6Ac);4;4290
Arthrobacter glacialis;1;4290
Planobispora rosea;5;4290
Thermoproteus uzoniensis (strain 768-20);1;4290
Carsonella ruddii;5;4290
Salinivibrio costicola;1;4290
Neisseria lactamica (strain 020-06);1;4290
Streptomyces granaticolor;1;4290
Neorickettsia sennetsu;4;4290
Tropheryma whipplei;2;4290
Lactobacillus sanfranciscensis;20;4290
Thiomonas delicata;7;4290
Marinomonas posidonica (strain CECT 7376 / NCIMB 14433 / IVIA-Po-181);1;4290
Thermosphaera aggregans (strain DSM 11486 / M11TL);2;4290
Sphingopyxis sp. (strain 113P3);2;4290
Lactobacillus reuteri;9;4290
Sphingobium wenxiniae (strain DSM 21828 / JZ-1);1;4290
Staphylococcus haemolyticus;12;4290
Lactobacillus pentosus;9;4290
Photorhabdus sp. (strain Az29);3;4290
Kangiella koreensis (strain DSM 16069 / KCTC 12182 / SW-125);4;4290
Marinobacter adhaerens (strain DSM 23420 / HP15);3;4290
Corynebacterium sp. (strain P-1);6;4290
Thermococcus sp. (strain KS-8);3;4290
Dichelobacter nodosus;47;4290
Escherichia coli O157:H7 (strain TW14359 / EHEC);12;4290
Pseudomonas syringae pv. tomato;10;4290
Xanthomonas campestris pv. juglandis;2;4290
Mycobacterium fallax;2;4290
Aggregatibacter aphrophilus (strain NJ8700);8;4290
Sulfolobus shibatae;22;4290
Escherichia coli (strain B / REL606);14;4290
Amycolatopsis mediterranei (strain U-32);3;4290
Chlamydia phage 1;8;4290
Halanaerobium praevalens;1;4290
Methanobacterium ivanovii;7;4290
Desmonostoc muscorum;4;4290
Achromobacter cycloclastes;4;4290
Streptomyces cyanogenus;1;4290
Halobacillus dabanensis;1;4290
Lactobacillus hilgardii;5;4290
Mycoplasma hyorhinis;14;4290
Streptomyces sp.;18;4290
Pseudomonas sp. (strain V22);1;4290
Cronobacter sakazakii;5;4290
Streptococcus intermedius;3;4290
Vibrio parahaemolyticus;10;4290
Synechocystis sp. (strain PCC 6803 / GT-S);2;4290
Bradyrhizobium sp. (strain ANU 289);8;4290
Leuconostoc gelidum subsp. gasicomitatum (strain DSM 15947 / CECT 5767 / JCM 12535 / LMG 18811 / TB1-10);3;4290
Prevotella intermedia;2;4290
Lysobacter enzymogenes;4;4290
Elizabethkingia miricola;3;4290
Geobacillus thermoglucosidasius;8;4290
Streptomyces rimosus;12;4290
Streptococcus mutans;7;4290
Legionella longbeachae serogroup 1 (strain NSW150);1;4290
Sulfolobus solfataricus;8;4290
Paenibacillus sp. (strain JDR-2);8;4290
Synechococcus phage S-PM2;1;4290
Synechococcus phage syn9;1;4290
Synechococcus phage S-WHM1;1;4290
Clostridium cellobioparum;1;4290
Sinorhizobium terangae;1;4290
Rhizobium sp. (strain N33);8;4290
Streptomyces niveus;23;4290
Streptomyces sp. (strain KO-3988);3;4290
Helicobacter pylori (strain B38);3;4290
Bacillus sp. (strain OxB-1);3;4290
Bradyrhizobium elkanii;8;4290
Roseobacter litoralis (strain ATCC 49566 / DSM 6996 / JCM 21268 / NBRC 15278 / OCh 149);4;4290
Staphylococcus hyicus;5;4290
Spiroplasma virus 4;9;4290
Listeria seeligeri;4;4290
Flavobacterium sp. (strain K172);3;4290
Erwinia sp. (strain Ejp617);1;4290
Bacillus pumilus (strain ATCC 7061 / DSM 27 / JCM 2508 / NBRC 12092 / NCIMB 9369 / NCTC 10337);1;4290
Alicycliphilus denitrificans (strain DSM 14773 / CIP 107495 / K601);1;4290
Thiomonas intermedia (strain K12);5;4290
Nitrosospira sp. (strain TCH716);1;4290
Mycobacterium flavescens;2;4290
Escherichia phage D108;9;4290
Streptococcus suis;8;4290
Yersinia pseudotuberculosis;4;4290
Salmonella borreze;1;4290
Borrelia hermsii;28;4290
Campylobacter fetus;5;4290
Pseudomonas tolaasii;5;4290
Subterranean clover stunt virus (strain F);8;4290
Pseudomonas phage Pf3;9;4290
Enterococcus gallinarum;4;4290
Enterococcus mundtii;3;4290
Acidiphilium organovorum;1;4290
Campylobacter lari;3;4290
Streptomyces cattleya;6;4290
Streptococcus dysgalactiae subsp. equisimilis;9;4290
Staphylococcus simulans;3;4290
Xanthomonas phage phiLf;8;4290
Desulfurococcus amylolyticus;1;4290
Acidiphilium cryptum;1;4290
Clostridium saccharobutylicum;7;4290
Lactobacillus sanfranciscensis (strain ATCC 27651 / DSM 20451 / JCM 5668 / KCTC 3205 / NCIMB 702811 / NRRL B-3934 / L-12);1;4290
Bifidobacterium breve;2;4290
Vibrio natriegens;1;4290
Xenorhabdus bovienii;1;4290
Streptomyces peucetius subsp. caesius;3;4290
Leptospira biflexa;8;4290
Mycoplasma flocculare;2;4290
Weissella paramesenteroides;4;4290
Haemophilus parasuis;3;4290
Stigmatella aurantiaca (strain DW4/3-1);6;4290
Streptomyces filamentosus;5;4290
Weissella hellenica;1;4290
Streptomyces kasugaensis;2;4290
Mycobacterium szulgai;2;4290
Mesoplasma florum;1;4290
Acholeplasma axanthum;1;4290
Propionigenium modestum;9;4290
Synechococcus sp. (strain PCC 6716);14;4290
Alteromonas fortis;1;4290
Pseudoalteromonas carrageenovora;5;4290
Brevibacillus choshinensis;9;4290
Marinobacter hydrocarbonoclasticus (strain ATCC 49840 / DSM 8798 / SP17);2;4290
Streptomyces globisporus;6;4290
Ehrlichia chaffeensis;2;4290
Pseudomonas sp. (strain ADP);6;4290
Streptomyces viridochromogenes;6;4290
Pseudomonas savastanoi pv. glycinea;12;4290
Pseudomonas savastanoi;10;4290
Pseudomonas syringae pv. pisi;3;4290
Methylovorus sp. (strain SS1 / DSM 11726);5;4290
Xanthomonas oryzae pv. oryzae;1;4290
Streptomyces violaceus;6;4290
Streptomyces violaceusniger;2;4290
Streptomyces sahachiroi;3;4290
Halobacterium halobium (strain shark);2;4290
Clostridium scindens (strain JCM 10418 / VPI 12708);9;4290
Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19);1;4290
Thauera aromatica;25;4290
Accumulibacter phosphatis (strain UW-1);1;4290
Moranella endobia (strain PCIT);3;4290
Lactobacillus curvatus;8;4290
Enterococcus faecalis;24;4290
Saccharothrix espanaensis (strain ATCC 51144 / DSM 44229 / JCM 9112 / NBRC 15066 / NRRL 15764);1;4290
Leuconostoc mesenteroides subsp. cremoris;8;4290
Acidiphilium rubrum;4;4290
Citrobacter braakii;4;4290
Erythrobacter longus;2;4290
Chlorobaculum limnaeum;1;4290
Paenibacillus polymyxa;15;4290
Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108);2;4290
Escherichia vulneris;18;4290
Streptomyces roseochromogenus subsp. oscitans;2;4290
Acinetobacter radioresistens;3;4290
Haemophilus influenzae;66;4290
Moraxella catarrhalis;6;4290
Klebsiella pneumoniae subsp. ozaenae;3;4290
Bacteroides fragilis;9;4290
Bacteroides uniformis;2;4290
Bacteroides vulgatus;1;4290
Vibrio cholerae;12;4290
Pseudomonas sp. (strain KKS102);7;4290
Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991);8;4290
Heliobacillus mobilis;16;4290
Bacillus sp. (strain PS3);19;4290
Ruminococcus flavefaciens;7;4290
Actinomyces sp.;2;4290
Clostridium stercorarium;5;4290
Rhodobacter blasticus;14;4290
Buchnera aphidicola subsp. Geoica urticularia;2;4290
Buchnera aphidicola subsp. Myzus persicae;5;4290
Buchnera aphidicola subsp. Pterocomma populeum;4;4290
Buchnera aphidicola subsp. Tetraneura caerulescens;4;4290
Buchnera aphidicola subsp. Thelaxes suberi;8;4290
Colwellia maris;8;4290
Streptomyces griseoverticillatus;2;4290
Clostridium thermocellum;15;4290
Prosthecochloris aestuarii;2;4290
Bartonella elizabethae;1;4290
Bartonella taylorii;1;4290
Bacillus phage SPbeta;25;4290
Bartonella vinsonii;1;4290
Rickettsia akari;3;4290
Rickettsia bellii;4;4290
Rickettsia canadensis;2;4290
Rickettsia japonica;1;4290
Rickettsia parkeri;7;4290
Rickettsia rhipicephali;7;4290
Rickettsia sibirica (strain ATCC VR-151 / 246);8;4290
Salmonella pullorum;3;4290
Variovorax paradoxus;2;4290
Arthrobacter sp.;14;4290
Thermus sp.;2;4290
Alicyclobacillus acidocaldarius subsp. acidocaldarius (strain ATCC 27009 / DSM 446 / JCM 5260 / NBRC 15652 / NCIMB 11725 / NRRL B-14509 / 104-1A);6;4290
Arthrobacter sp. (strain B7);1;4290
Bifidobacterium bifidum;1;4290
Clostridium acetobutylicum;4;4290
Clostridium cellulovorans (strain ATCC 35296 / DSM 3052 / OCM 3 / 743B);4;4290
Geobacillus kaustophilus;2;4290
Xanthomonas manihotis;1;4290
Leuconostoc lactis;4;4290
Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153);12;4290
Agrobacterium sp. (strain ATCC 21400);1;4290
Butyrivibrio fibrisolvens;15;4290
Streptomyces cyslabdanicus;2;4290
Ilyobacter tartaricus;3;4290
Staphylococcus sciuri;2;4290
Streptomyces olivaceoviridis;6;4290
Synechococcus sp. (strain ATCC 29403 / PCC 7335);1;4290
Alcaligenes xylosoxydans xylosoxydans;16;4290
Methylomonas sp. (strain J);3;4290
Sulfolobus spindle-shape virus 1;34;4290
Pseudomonas sp. (strain G-1);1;4290
Haloarcula argentinensis;2;4290
Halobacterium halobium (strain mex);2;4290
Halobacterium halobium (strain port);2;4290
Taylorella asinigenitalis (strain MCE3);1;4290
Oceanimonas sp. (strain GK1);1;4290
Lactobacillus paracasei;5;4290
Acinetobacter calcoaceticus subsp. anitratus;2;4290
Bartonella bacilliformis;9;4290
Bartonella doshiae;1;4290
Bartonella vinsonii subsp. berkhoffii;2;4290
Pseudomonas resinovorans;6;4290
Rickettsia australis;4;4290
Rickettsia conorii subsp. caspia (strain A-167);1;4290
Rickettsia helvetica;4;4290
Rickettsia slovaca (strain 13-B);1;4290
Thauera butanivorans (strain ATCC 43655 / DSM 2080/ JCM 20651 / NBRC 103042 / IAM 12574 / Bu B1211);2;4290
Bacillus megaterium (strain ATCC 12872 / QMB1551);18;4290
Buchnera aphidicola subsp. Melaphis rhois;11;4290
Pseudomonas denitrificans;33;4290
Acinetobacter sp.;4;4290
Halorubrum sodomense;3;4290
Halobacterium sp. (strain SG1);3;4290
Natronomonas pharaonis;5;4290
Nocardioides simplex;2;4290
Halobacterium sp. (strain aus-2);1;4290
Haloterrigena sp. (strain arg-4);2;4290
Haloarcula sp. (strain arg-2 / Andes heights);1;4290
Chondromyces crocatus;3;4290
Pseudoalteromonas sp. (strain SM9913);2;4290
Francisella sp. (strain TX077308);2;4290
Methylomonas methanica (strain MC09);3;4290
Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2);5;4290
Mycoplasma salivarium;1;4290
Corynebacterium crenatum;2;4290
Coxiella burnetii;1;4290
Pseudomonas sp. (strain RS-16);1;4290
